ORCID,PUB_DATE,DOI,already_oa,issn,policy_uri,submitted_oa_policy,accepted_oa_policy,published_oa_policy
https://orcid.org/0000-0003-0958-7728,2025-02-26,https://doi.org/10.3390/microorganisms13030511,yes,2076-2607,https://v2.sherpa.ac.uk/id/publication/24814,None,None,None
https://orcid.org/0000-0002-6293-4197,2025-03-07,https://doi.org/10.1159/000544104,yes,1022-6877,https://v2.sherpa.ac.uk/id/publication/9000,9077:fee_no:Set statement to accompany deposit;,9078:fee_no:no conditions;,None
https://orcid.org/0000-0002-1833-2746,2025-01-05,https://doi.org/10.1111/acel.14425,yes,1474-9718,https://v2.sherpa.ac.uk/id/publication/80,8051:fee_no:Publisher source must be acknowledged with citation Must link to published article with DOI;,None,None
https://orcid.org/0000-0002-2580-5361,2025-01-16,https://doi.org/10.1007/s11625-024-01607-1,no,1862-4057,https://v2.sherpa.ac.uk/id/publication/17471,None,None,None
https://orcid.org/0000-0002-4989-5058,2025-01-01,https://doi.org/10.1016/j.jtho.2025.01.019,yes,1556-0864,None,None,None,None
https://orcid.org/0000-0002-5516-4542,2025-01-24,https://doi.org/10.3390/molecules30030535,yes,1420-3049,https://v2.sherpa.ac.uk/id/publication/19458,None,None,None
,2025-01-01,https://doi.org/10.1016/j.bbadis.2025.167694,yes,0925-4439,https://v2.sherpa.ac.uk/id/publication/12433,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0002-3913-9961,2025-01-27,https://doi.org/10.1093/geront/gnaf012,no,0016-9013,https://v2.sherpa.ac.uk/id/publication/725,None,39:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with DOI Set phrase to accompany archived copy;,None
https://orcid.org/0000-0002-6222-7863,2025-01-29,https://doi.org/10.1002/csr.3141,yes,1535-3958,https://v2.sherpa.ac.uk/id/publication/7432,11212:fee_no:May not be updated with Publisher's Version/PDF Must acknowledge acceptance for publication Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,11213:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None
https://orcid.org/0000-0002-0530-1860,2025-01-01,https://doi.org/10.1123/ssj.2024-0150,no,0741-1235,https://v2.sherpa.ac.uk/id/publication/12265,None,3849:fee_no:Publisher copyright and source must be acknowledged Must link to publisher version with DOI Set statement to accompany deposit (see policy);,None
https://orcid.org/0000-0001-7057-5860,2025-02-17,https://doi.org/10.1080/09518398.2025.2452633,no,0951-8398,https://v2.sherpa.ac.uk/id/publication/5432,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
https://orcid.org/0000-0002-1649-2834,2025-02-19,https://doi.org/10.1177/15407969251319255,no,1540-7969,https://v2.sherpa.ac.uk/id/publication/35709,None,None,None
https://orcid.org/0000-0002-4968-8550,2025-02-01,https://doi.org/10.1016/j.neuint.2025.105952,yes,0197-0186,https://v2.sherpa.ac.uk/id/publication/12841,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0002-4989-5058,2025-02-21,https://doi.org/10.1001/jamahealthforum.2024.5581,yes,2689-0186,https://v2.sherpa.ac.uk/id/publication/39406,None,None,None
https://orcid.org/0000-0002-3913-9961,2025-02-01,https://doi.org/10.1016/j.inpsyc.2025.100052,yes,1041-6102,None,None,None,None
https://orcid.org/0000-0002-4214-8543,2025-03-04,https://doi.org/10.1007/s00421-025-05728-y,yes,1439-6319,https://v2.sherpa.ac.uk/id/publication/28234,None,None,None
https://orcid.org/0000-0002-8147-4376,2025-03-11,https://doi.org/10.1016/j.neuropharm.2025.110409,yes,0028-3908,https://v2.sherpa.ac.uk/id/publication/4662,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0003-0063-3935,2025-01-01,https://doi.org/10.1039/d5sc01857a,yes,2041-6520,https://v2.sherpa.ac.uk/id/publication/18004,None,6619:fee_no:Academic Social Network must be signed up to STM sharing principles;,None
https://orcid.org/0000-0001-5038-8355,2025-03-31,https://doi.org/10.1177/20530196251315454,no,2053-0196,https://v2.sherpa.ac.uk/id/publication/31211,None,None,None
https://orcid.org/0000-0002-3882-000X,2025-04-25,https://doi.org/10.1242/jeb.250297,yes,0022-0949,https://v2.sherpa.ac.uk/id/publication/14671,7117:fee_no:Must link to publisher version;,None,3762:fee_no:Must link to publisher version;
https://orcid.org/0000-0002-4989-5058,2025-04-24,https://doi.org/10.1136/thorax-2024-222098,no,0040-6376,https://v2.sherpa.ac.uk/id/publication/1961,None,197:fee_no:Upon online publication Publisher copyright and source must be acknowledged Must link to published article with DOI Set statement to accompany deposit;10362:fee_no:Upon online publication Publisher source must be acknowledged with citation Must link to published article with DOI Set statement to accompany deposit;,11335:fee_yes:Published source must be acknowledged with citation Must link to publisher version;
https://orcid.org/0000-0003-3133-9763,2025-05-14,https://doi.org/10.1002/hrm.22314,yes,0090-4848,https://v2.sherpa.ac.uk/id/publication/14605,11212:fee_no:May not be updated with Publisher's Version/PDF Must acknowledge acceptance for publication Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,11213:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None
https://orcid.org/0000-0002-6000-9029,2025-05-23,https://doi.org/10.1177/00380261251335443,no,0038-0261,https://v2.sherpa.ac.uk/id/publication/16023,None,None,None
https://orcid.org/0000-0003-2626-1375,2025-06-19,https://doi.org/10.1021/acs.joc.5c00819,no,0022-3263,https://v2.sherpa.ac.uk/id/publication/7797,None,None,710:fee_yes:no conditions;
https://orcid.org/0000-0003-1509-7960,2025-08-08,https://doi.org/10.1001/jamanetworkopen.2025.25887,yes,2574-3805,https://v2.sherpa.ac.uk/id/publication/35490,None,None,None
https://orcid.org/0009-0004-4322-9072,2025-01-03,https://doi.org/10.1002/ejoc.202401203,yes,1099-0690,https://v2.sherpa.ac.uk/id/publication/1692,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0001-5678-7234,2025-01-06,https://doi.org/10.1111/jgs.19337,yes,0002-8614,https://v2.sherpa.ac.uk/id/publication/15161,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0002-6067-247X,2025-01-14,https://doi.org/10.4088/pcc.24m03810,no,2155-7780,https://v2.sherpa.ac.uk/id/publication/15068,None,9729:fee_no:no conditions;,None
https://orcid.org/0000-0002-3622-1548,2025-01-15,https://doi.org/10.3390/rs17020289,yes,2072-4292,https://v2.sherpa.ac.uk/id/publication/13675,None,None,None
https://orcid.org/0000-0001-8768-5855,2025-01-01,https://doi.org/10.1098/rspa.2024.0082,no,1364-5021,https://v2.sherpa.ac.uk/id/publication/11602,None,478:fee_no:Publisher source must be acknowledged with citation;,None
,2025-01-01,https://doi.org/10.1002/ecy.4525,yes,0012-9658,https://v2.sherpa.ac.uk/id/publication/13292,None,None,None
https://orcid.org/0000-0001-7217-3443,2025-01-23,https://doi.org/10.1210/clinem/dgaf041,yes,0021-972X,error,error,error,error
,2025-01-01,https://doi.org/10.1016/j.jbiomech.2025.112553,yes,0021-9290,https://v2.sherpa.ac.uk/id/publication/13780,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0003-2112-3918,2025-01-24,https://doi.org/10.1096/fj.202402421r,yes,0892-6638,https://v2.sherpa.ac.uk/id/publication/14441,None,None,None
https://orcid.org/0000-0003-3474-0843,2025-01-27,https://doi.org/10.1021/acs.est.4c10360,no,0013-936X,https://v2.sherpa.ac.uk/id/publication/7774,None,None,710:fee_yes:no conditions;
,2025-01-29,https://doi.org/10.1080/02791072.2025.2452226,no,0279-1072,https://v2.sherpa.ac.uk/id/publication/18901,None,None,None
https://orcid.org/0000-0002-6352-8289,2025-01-29,https://doi.org/10.1080/15290824.2024.2429504,no,1529-0824,https://v2.sherpa.ac.uk/id/publication/18889,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
,2025-02-01,https://doi.org/10.1016/j.psychsport.2025.102820,yes,1878-5476,https://v2.sherpa.ac.uk/id/publication/16062,None,11179:fee_no:Must link to publisher version with DOI;11183:fee_no:Must link to publisher version with DOI;,11181:fee_yes:Published source must be acknowledged with citation;11182:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0003-4935-5833,2025-01-01,https://doi.org/10.1123/jsm.2024-0199,no,0888-4773,https://v2.sherpa.ac.uk/id/publication/12254,None,3849:fee_no:Publisher copyright and source must be acknowledged Must link to publisher version with DOI Set statement to accompany deposit (see policy);,None
https://orcid.org/0000-0002-5547-2297,2025-01-01,https://doi.org/10.1123/ijsc.2024-0231,no,1936-3907,https://v2.sherpa.ac.uk/id/publication/12247,None,3849:fee_no:Publisher copyright and source must be acknowledged Must link to publisher version with DOI Set statement to accompany deposit (see policy);,None
https://orcid.org/0000-0001-8188-9769,2025-02-01,https://doi.org/10.1029/2023je008046,yes,2169-9097,https://v2.sherpa.ac.uk/id/publication/11077,"1013:fee_no:Set statement to accompany deposit (see policy) Upon publication, published source must be acknowledged with citation Upon publication, must link to published article with DOI;",None,9708:fee_no:Published source must be acknowledged with citation Copyright must be acknowledged Must link to published article with DOI;
https://orcid.org/0000-0001-6019-5522,2025-02-07,https://doi.org/10.3390/urbansci9020037,yes,2413-8851,https://v2.sherpa.ac.uk/id/publication/33267,None,None,None
https://orcid.org/0000-0002-4676-2823,2025-02-09,https://doi.org/10.1177/10778012251319317,yes,1077-8012,https://v2.sherpa.ac.uk/id/publication/9564,None,None,None
https://orcid.org/0000-0002-4989-5058,2025-02-12,https://doi.org/10.1177/09622802241310326,yes,0962-2802,https://v2.sherpa.ac.uk/id/publication/9490,None,None,None
https://orcid.org/0000-0002-5214-1943,2025-02-13,https://doi.org/10.1002/jad.12476,yes,0140-1971,https://v2.sherpa.ac.uk/id/publication/13752,11219:fee_no:May not be updated with Publisher's Version/PDF Must acknowledge acceptance for publication Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,11220:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);11221:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None
https://orcid.org/0000-0002-2678-2798,2025-02-19,https://doi.org/10.1016/j.evalprogplan.2025.102559,yes,0149-7189,https://v2.sherpa.ac.uk/id/publication/16897,None,10970:fee_no:Must link to publisher version with DOI;,10972:fee_yes:Published source must be acknowledged with citation;10973:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0003-3710-4893,2025-02-19,https://doi.org/10.1021/acs.chemrestox.4c00425,no,0893-228X,https://v2.sherpa.ac.uk/id/publication/7769,None,None,710:fee_yes:no conditions;
https://orcid.org/0000-0002-4326-7405,2025-02-24,https://doi.org/10.1111/nicc.13273,yes,1362-1017,https://v2.sherpa.ac.uk/id/publication/15923,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0001-5678-7234,2025-03-19,https://doi.org/10.1016/j.jamda.2025.105521,yes,1525-8610,https://v2.sherpa.ac.uk/id/publication/14125,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0001-5668-9706,2025-03-04,https://doi.org/10.1097/jsm.0000000000001340,yes,1050-642X,https://v2.sherpa.ac.uk/id/publication/8742,None,6750:fee_no:Set statement to accompany deposit;,None
https://orcid.org/0000-0003-1940-1755,2025-03-01,https://doi.org/10.1002/ecy.70009,yes,0012-9658,https://v2.sherpa.ac.uk/id/publication/13292,None,None,None
https://orcid.org/0000-0003-2833-2501,2025-03-07,https://doi.org/10.1016/j.envres.2025.121330,no,0013-9351,https://v2.sherpa.ac.uk/id/publication/11285,None,11157:fee_no:Must link to publisher version with DOI;11161:fee_no:Must link to published article with DOI Publisher source must be acknowledged with citation;,11159:fee_yes:Published source must be acknowledged with citation;11160:fee_yes:no conditions;
https://orcid.org/0000-0001-6670-3030,2025-03-13,https://doi.org/10.1016/j.jelekin.2025.102992,yes,1050-6411,https://v2.sherpa.ac.uk/id/publication/40987,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0003-0833-2133,2025-03-12,https://doi.org/10.1016/j.ssmph.2025.101776,yes,2352-8273,https://v2.sherpa.ac.uk/id/publication/31540,None,None,None
,2025-03-11,https://doi.org/10.1002/adsc.202500008,yes,1615-4150,https://v2.sherpa.ac.uk/id/publication/1447,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0002-4652-6310,2025-03-01,https://doi.org/10.3138/cjc-2024-0019,no,0705-3657,https://v2.sherpa.ac.uk/id/publication/10292,None,354:fee_no:Must link to published article with DOI;8618:fee_no:Publisher copyright and source must be acknowledged;,None
https://orcid.org/0000-0001-7217-3443,2025-03-19,https://doi.org/10.4088/jcp.24br15503,yes,0160-6689,https://v2.sherpa.ac.uk/id/publication/15067,None,9729:fee_no:no conditions;,None
https://orcid.org/0000-0001-6067-470X,2025-03-01,https://doi.org/10.1111/jar.70034,yes,1360-2322,https://v2.sherpa.ac.uk/id/publication/7037,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0001-9796-5156,2025-03-24,https://doi.org/10.5465/amle.2022.0435,no,1537-260X,error,error,error,error
https://orcid.org/0000-0003-1633-9757,2025-03-01,https://doi.org/10.1016/j.jri.2025.104524,no,0165-0378,https://v2.sherpa.ac.uk/id/publication/14103,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0002-2473-8646,2025-03-29,https://doi.org/10.1177/00076503251324569,yes,0007-6503,https://v2.sherpa.ac.uk/id/publication/9059,None,None,None
https://orcid.org/0000-0001-8418-449X,2025-04-01,https://doi.org/10.14814/phy2.70299,yes,2051-817X,https://v2.sherpa.ac.uk/id/publication/27408,8051:fee_no:Publisher source must be acknowledged with citation Must link to published article with DOI;,None,None
https://orcid.org/0000-0002-2451-7982,2025-04-01,https://doi.org/10.1016/j.nlm.2025.108048,yes,1074-7427,https://v2.sherpa.ac.uk/id/publication/12877,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
,2025-04-03,https://doi.org/10.3390/adolescents5020011,yes,2673-7051,https://v2.sherpa.ac.uk/id/publication/39197,None,None,None
https://orcid.org/0000-0002-4214-8543,2025-04-15,https://doi.org/10.1111/nyas.15331,no,0077-8923,https://v2.sherpa.ac.uk/id/publication/7600,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
,2025-04-16,https://doi.org/10.3390/educsci15040497,yes,2227-7102,https://v2.sherpa.ac.uk/id/publication/24796,None,None,None
https://orcid.org/0000-0002-3882-000X,2025-04-23,https://doi.org/10.1007/s00442-025-05711-6,no,0029-8549,https://v2.sherpa.ac.uk/id/publication/8139,None,None,None
https://orcid.org/0000-0002-7274-4645,2025-04-22,https://doi.org/10.1080/14413523.2025.2493430,no,1441-3523,https://v2.sherpa.ac.uk/id/publication/17154,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
https://orcid.org/0000-0002-3882-000X,2025-05-01,https://doi.org/10.1093/icb/icaf023,no,1540-7063,https://v2.sherpa.ac.uk/id/publication/1349,None,39:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with DOI Set phrase to accompany archived copy;,None
https://orcid.org/0000-0002-1833-2746,2025-05-01,https://doi.org/10.1016/j.ejvs.2025.04.067,yes,1078-5884,https://v2.sherpa.ac.uk/id/publication/13237,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
,2025-05-12,https://doi.org/10.1111/jasp.13101,yes,0021-9029,https://v2.sherpa.ac.uk/id/publication/15089,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0002-6293-4197,2025-05-16,https://doi.org/10.1016/j.drugpo.2025.104840,yes,0955-3959,https://v2.sherpa.ac.uk/id/publication/12559,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0002-2678-2798,2025-05-28,https://doi.org/10.3390/educsci15060665,yes,2227-7102,https://v2.sherpa.ac.uk/id/publication/24796,None,None,None
,2025-05-04,https://doi.org/10.1080/08989575.2025.2491899,no,0898-9575,https://v2.sherpa.ac.uk/id/publication/29509,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
https://orcid.org/0000-0002-6149-4978,2025-01-01,https://doi.org/10.1123/ijspp.2025-0034,no,1555-0265,https://v2.sherpa.ac.uk/id/publication/12249,None,3849:fee_no:Publisher copyright and source must be acknowledged Must link to publisher version with DOI Set statement to accompany deposit (see policy);,None
https://orcid.org/0000-0002-6591-6760,2025-06-12,https://doi.org/10.1002/ecog.07801,yes,0906-7590,https://v2.sherpa.ac.uk/id/publication/7649,8051:fee_no:Publisher source must be acknowledged with citation Must link to published article with DOI;,None,None
https://orcid.org/0000-0002-0853-5160,2025-06-25,https://doi.org/10.1002/hec.70007,yes,1057-9230,https://v2.sherpa.ac.uk/id/publication/7456,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
,2025-01-01,https://doi.org/10.1109/tim.2025.3599699,no,0018-9456,https://v2.sherpa.ac.uk/id/publication/3481,"11087:fee_no:Must be replaced with accepted version When submitted, set statement to accompany deposit (see policy) When accepted for publication, must either replace the submitted work with a full citation OR the accepted version with a DOI When accepted for publication, must be removed if not on the permitted locations for accepted article IEEE must be informed as to the electronic address of the pre-print Publisher copyright and source must be acknowledged;","11089:fee_no:When accepted for publication, set statement to accompany deposit (see policy) Must link to publisher version with DOI Publisher copyright and source must be acknowledged;11092:fee_no:Submissions should include the following text in the funding acknowledgement section of the manuscript and any cover note accompanying the submission: ""For the purpose of open access, the author(s) has applied a Creative Commons Attribution (CC BY) license to any Accepted Manuscript version arising.""' Publisher source must be acknowledged with citation;11093:fee_no:Publisher source must be acknowledged with citation;",None
https://orcid.org/0000-0002-1918-1695,2025-01-03,https://doi.org/10.3389/fspor.2024.1446909,yes,2624-9367,https://v2.sherpa.ac.uk/id/publication/36864,None,None,None
https://orcid.org/0000-0001-8933-6392,2025-01-01,https://doi.org/10.1016/j.pld.2025.01.002,yes,2468-2659,None,None,None,None
https://orcid.org/0009-0009-1822-8920,2025-01-06,https://doi.org/10.3390/plants14010137,yes,2223-7747,https://v2.sherpa.ac.uk/id/publication/24818,None,None,None
https://orcid.org/0009-0006-6738-7010,2025-01-06,https://doi.org/10.1177/13691481241309271,yes,1369-1481,https://v2.sherpa.ac.uk/id/publication/6795,None,4541:fee_no:Published source must be acknowledged with citation Copyright must be acknowledged;,None
,2025-01-01,https://doi.org/10.1123/jsep.2024-0372,yes,0895-2779,https://v2.sherpa.ac.uk/id/publication/12253,None,3849:fee_no:Publisher copyright and source must be acknowledged Must link to publisher version with DOI Set statement to accompany deposit (see policy);,None
https://orcid.org/0000-0001-9537-1741,2025-01-07,https://doi.org/10.3390/histories5010003,yes,2409-9252,https://v2.sherpa.ac.uk/id/publication/38200,None,None,None
https://orcid.org/0000-0002-0905-4166,2025-01-07,https://doi.org/10.1177/10497323241308779,yes,1049-7323,https://v2.sherpa.ac.uk/id/publication/9439,None,None,None
https://orcid.org/0000-0003-1633-9757,2025-01-09,https://doi.org/10.1016/j.preghy.2025.101187,no,2210-7789,https://v2.sherpa.ac.uk/id/publication/18856,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0003-3020-1455,2025-01-11,https://doi.org/10.1007/s12034-024-03376-0,no,0250-4707,https://v2.sherpa.ac.uk/id/publication/23137,None,None,2215:fee_no:no conditions;
https://orcid.org/0000-0002-0717-2011,2025-01-01,https://doi.org/10.1136/bmjopen-2024-088626,yes,2044-6055,https://v2.sherpa.ac.uk/id/publication/17945,None,None,None
,2025-01-13,https://doi.org/10.1103/physrevb.111.l020102,no,2469-9950,https://v2.sherpa.ac.uk/id/publication/23829,None,None,None
https://orcid.org/0000-0003-3840-5639,2025-01-13,https://doi.org/10.1152/ajpcell.00867.2024,no,0363-6143,https://v2.sherpa.ac.uk/id/publication/7390,None,None,None
https://orcid.org/0000-0002-0557-4471,2025-01-13,https://doi.org/10.1080/15257770.2025.2452387,no,1525-7770,https://v2.sherpa.ac.uk/id/publication/5902,None,None,None
https://orcid.org/0000-0002-8723-6774,2025-01-14,https://doi.org/10.3390/educsci15010086,yes,2227-7102,https://v2.sherpa.ac.uk/id/publication/24796,None,None,None
https://orcid.org/0000-0002-4472-4831,2025-01-14,https://doi.org/10.1002/rcm.9986,yes,0951-4198,https://v2.sherpa.ac.uk/id/publication/7560,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0002-2911-1295,2025-01-14,https://doi.org/10.1177/19394225241312441,yes,1939-4225,https://v2.sherpa.ac.uk/id/publication/27389,None,None,None
https://orcid.org/0000-0002-0431-2787,2025-01-01,https://doi.org/10.1016/j.healthplace.2024.103405,yes,1353-8292,https://v2.sherpa.ac.uk/id/publication/16827,None,11179:fee_no:Must link to publisher version with DOI;11183:fee_no:Must link to publisher version with DOI;,11181:fee_yes:Published source must be acknowledged with citation;11182:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0002-4773-4840,2025-01-01,https://doi.org/10.1002/acp.70024,no,0888-4080,https://v2.sherpa.ac.uk/id/publication/467,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
,2025-01-18,https://doi.org/10.1016/j.eucr.2025.102954,yes,2214-4420,https://v2.sherpa.ac.uk/id/publication/36587,None,None,None
,2025-01-17,https://doi.org/10.1080/24711616.2024.2447434,no,2471-1616,https://v2.sherpa.ac.uk/id/publication/42036,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
https://orcid.org/0000-0003-4828-9176,2025-01-20,https://doi.org/10.1002/jad.12470,yes,0140-1971,https://v2.sherpa.ac.uk/id/publication/13752,11219:fee_no:May not be updated with Publisher's Version/PDF Must acknowledge acceptance for publication Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,11220:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);11221:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None
https://orcid.org/0000-0003-2431-498X,2025-01-20,https://doi.org/10.1080/15434303.2024.2448963,no,1543-4303,https://v2.sherpa.ac.uk/id/publication/5805,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
https://orcid.org/0000-0001-5074-5703,2025-01-20,https://doi.org/10.1177/10883576241311124,no,1088-3576,https://v2.sherpa.ac.uk/id/publication/9156,None,None,None
,2025-01-14,https://doi.org/10.56367/oag-045-11711,yes,2516-3817,None,None,None,None
https://orcid.org/0000-0002-8062-7123,2025-01-23,https://doi.org/10.1108/ejm-12-2023-0911,no,0309-0566,https://v2.sherpa.ac.uk/id/publication/189,53:fee_no:Academic Social Networks / Scholarly Collaboration Networks that have signed up to the Voluntary STM Sharing Principles Must not have its copyright assigned to pre-print server Must be updated with set statement once accepted Must inform editor of pre-print deposit Must link to publisher version with DOI when available Published source must be acknowledged with citation when available;,54:fee_no:Academic Social Network/ Scholarly Collaboration Networks that have signed up to the Voluntary STM Sharing Principles Deposit may occur upon publication Must link to publisher version with DOI Published source must be acknowledged with citation;,None
https://orcid.org/0000-0002-9196-0757,2025-01-24,https://doi.org/10.1002/2211-5463.13972,yes,2211-5463,https://v2.sherpa.ac.uk/id/publication/21310,8051:fee_no:Publisher source must be acknowledged with citation Must link to published article with DOI;,None,None
