ORCID,DOI,issn,LICENSE_URL,standard_url,policy_uri,submitted_oa_policy,accepted_oa_policy,published_oa_policy
0009-0006-6738-7010,10.1177/13691481241309271,1369-1481,https://creativecommons.org/licenses/by/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/6795,None,4541:fee_no:Published source must be acknowledged with citation Copyright must be acknowledged;,None
0000-0002-4394-7195,10.63144/ijt.2025.6652,1945-2020,https://creativecommons.org/licenses/by/4.0,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/19675,"5596:fee_no:Upon publication, must link to published article with DOI Upon publication, must link to abstract on publisher website Upon publication, published source must be acknowledged with citation;",None,None
0000-0003-3777-1987,10.1177/00187267241251956,0018-7267,https://journals.sagepub.com/page/policies/text-and-data-mining-license,journals.sagepub.com,https://v2.sherpa.ac.uk/id/publication/9189,None,None,None
0009-0006-7695-9359,10.25071/28169344.12,2816-9344,https://creativecommons.org/licenses/by-nc/4.0,creativecommons.org,None,None,None,None
0000-0002-5404-002X,10.1111/ijmr.12394,1460-8545,http://creativecommons.org/licenses/by-nc-nd/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/13981,11212:fee_no:May not be updated with Publisher's Version/PDF Must acknowledge acceptance for publication Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,11213:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None
0009-0001-1210-1648,10.1093/jbmr/zjae187,0884-0431,https://creativecommons.org/licenses/by/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/45999,None,None,None
0000-0003-3042-5862,10.1080/14623943.2025.2494308,1462-3943,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/5999,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
0000-0002-9407-9527,10.20360/langandlit29758,1496-0974,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/37866,11082:fee_no:Published source must be acknowledged with citation Must link with DOI to published version;,None,None
0000-0003-1549-6021,10.1007/s42322-024-00182-4,2206-3110,https://www.springernature.com/gp/researchers/text-and-data-mining,www.springernature.com,https://v2.sherpa.ac.uk/id/publication/36112,None,11275:fee_no:Published source must be acknowledged with citation Must link to publisher version with DOI Post-prints are subject to Springer Nature re-use terms Set statement to accompany deposit (see policy);,None
0000-0002-0517-0936,10.11124/JBIES-24-00180,2689-8381,http://creativecommons.org/licenses/by-nc-nd/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/36763,None,6750:fee_no:Set statement to accompany deposit;,None
0000-0002-1264-3826,10.1103/PhysRevMaterials.9.036201,2475-9953,https://link.aps.org/licenses/aps-default-license,link.aps.org,https://v2.sherpa.ac.uk/id/publication/33503,None,None,None
0000-0003-0789-2729,10.1111/bjso.12900,0144-6665,http://creativecommons.org/licenses/by-nc-nd/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/18409,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
0000-0003-0789-2729,10.1177/19485506241305698,1948-5506,https://creativecommons.org/licenses/by-nc/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/9475,None,None,None
0000-0003-0789-2729,10.1002/casp.70009,1052-9284,http://creativecommons.org/licenses/by-nc-nd/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/7489,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
0000-0003-0789-2729,10.1007/s10508-023-02797-y,0004-0002,https://www.springernature.com/gp/researchers/text-and-data-mining,www.springernature.com,https://v2.sherpa.ac.uk/id/publication/11814,None,None,None
0000-0002-6293-4197,10.1016/j.drugpo.2025.104840,0955-3959,https://www.elsevier.com/tdm/userlicense/1.0/,www.elsevier.com,https://v2.sherpa.ac.uk/id/publication/12559,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
0000-0002-6293-4197,10.1159/000544104,1022-6877,https://creativecommons.org/licenses/by/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/9000,9077:fee_no:Set statement to accompany deposit;,9078:fee_no:no conditions;,None
0000-0002-6293-4197,10.1111/dar.14010,0959-5236,http://creativecommons.org/licenses/by/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/6781,11219:fee_no:May not be updated with Publisher's Version/PDF Must acknowledge acceptance for publication Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,11220:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);11221:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None
0000-0002-4791-6433,10.1007/s40617-025-01065-w,1998-1929,https://www.springernature.com/gp/researchers/text-and-data-mining,www.springernature.com,https://v2.sherpa.ac.uk/id/publication/28052,None,140:fee_no:Published source must be acknowledged with citation Must link to publisher version with DOI Post-prints are subject to Springer Nature re-use terms Set statement to accompany deposit (see policy);,None
0000-0002-4791-6433,10.26522/jiste.v28i2.4787,2521-6015,https://creativecommons.org/licenses/by/4.0,creativecommons.org,None,None,None,None
0000-0002-3750-1779,10.1016/j.cjar.2020.10.001,1755-3091,https://www.elsevier.com/tdm/userlicense/1.0/,www.elsevier.com,https://v2.sherpa.ac.uk/id/publication/19300,None,None,None
0000-0002-3750-1779,10.1177/0148558x17742821,0148-558X,https://journals.sagepub.com/page/policies/text-and-data-mining-license,journals.sagepub.com,https://v2.sherpa.ac.uk/id/publication/19322,None,None,None
0000-0002-3750-1779,10.2308/accr-51526,1558-7967,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/13553,None,10208:fee_no:Publisher source must be acknowledged with citation Must link to published article with DOI;,None
0000-0002-3750-1779,10.2308/jiar-51345,1558-8025,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/13550,None,10208:fee_no:Publisher source must be acknowledged with citation Must link to published article with DOI;,None
0000-0002-3750-1779,10.1108/ara-08-2014-0091,1321-7348,https://www.emerald.com/insight/site-policies,www.emerald.com,https://v2.sherpa.ac.uk/id/publication/1284,53:fee_no:Academic Social Networks / Scholarly Collaboration Networks that have signed up to the Voluntary STM Sharing Principles Must not have its copyright assigned to pre-print server Must be updated with set statement once accepted Must inform editor of pre-print deposit Must link to publisher version with DOI when available Published source must be acknowledged with citation when available;,54:fee_no:Academic Social Network/ Scholarly Collaboration Networks that have signed up to the Voluntary STM Sharing Principles Deposit may occur upon publication Must link to publisher version with DOI Published source must be acknowledged with citation;,None
0000-0002-3750-1779,10.1080/09638180.2014.932297,0963-8180,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/5242,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
0000-0002-3750-1779,10.1016/j.intacc.2012.07.004,0020-7063,https://www.elsevier.com/tdm/userlicense/1.0/,www.elsevier.com,None,None,None,None
0000-0002-3750-1779,10.2308/atax-10150,0198-9073,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/13552,None,10208:fee_no:Publisher source must be acknowledged with citation Must link to published article with DOI;,None
0000-0002-3750-1779,10.1016/j.intacc.2011.04.005,0020-7063,https://www.elsevier.com/tdm/userlicense/1.0/,www.elsevier.com,None,None,None,None
0000-0002-4247-6045,10.26522/brocked.v34i1.1186,2371-7750,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/20655,None,None,None
0000-0002-4247-6045,10.1007/s40979-025-00182-x,1833-2595,https://creativecommons.org/licenses/by-nc-nd/4.0,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/30857,None,None,None
0000-0002-0431-2787,10.1371/journal.pone.0224225,1932-6203,http://creativecommons.org/licenses/by/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/17599,None,None,None
0000-0002-0431-2787,10.1371/journal.pone.0151544,1932-6203,http://creativecommons.org/licenses/by/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/17599,None,None,None
0000-0002-0431-2787,10.1136/bmjopen-2015-008964,2044-6055,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/17945,None,None,None
0000-0001-7215-4306,10.1002/ase.2464,1935-9772,http://creativecommons.org/licenses/by/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/7598,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
0000-0003-1410-4356,10.1080/21598282.2021.2005657,2159-8282,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/20459,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
0000-0003-1410-4356,10.1080/21598282.2021.1924829,2159-8282,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/20459,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
0000-0002-6591-6760,10.1002/ecog.07801,0906-7590,http://creativecommons.org/licenses/by/3.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/7649,8051:fee_no:Publisher source must be acknowledged with citation Must link to published article with DOI;,None,None
0000-0002-6591-6760,10.1371/journal.pone.0322682,1932-6203,http://creativecommons.org/licenses/by/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/17599,None,None,None
0000-0002-6591-6760,10.1111/brv.70002,1464-7931,http://creativecommons.org/licenses/by-nc/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/6829,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
0000-0002-6591-6760,10.1242/jeb.250297,0022-0949,http://creativecommons.org/licenses/by/4.0,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/14671,7117:fee_no:Must link to publisher version;,None,3762:fee_no:Must link to publisher version;
0000-0002-6591-6760,10.1139/cjz-2024-0063,0008-4301,http://www.nrcresearchpress.com/page/about/CorporateTextAndDataMining,www.nrcresearchpress.com,https://v2.sherpa.ac.uk/id/publication/10135,8195:fee_no:no conditions;,3875:fee_no:Publisher copyright and source must be acknowledged Author's archived version must not be amended once its accepted for publication Must link to publisher version;,None
0000-0002-6591-6760,10.1016/j.applanim.2024.106484,0168-1591,https://www.elsevier.com/tdm/userlicense/1.0/,www.elsevier.com,https://v2.sherpa.ac.uk/id/publication/11127,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
0000-0002-6591-6760,10.1111/jav.03248,0908-8857,http://creativecommons.org/licenses/by/3.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/3731,8051:fee_no:Publisher source must be acknowledged with citation Must link to published article with DOI;,None,None
0000-0002-6591-6760,10.1002/ECY.4525,0012-9658,http://creativecommons.org/licenses/by-nc/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/13292,None,None,None
0000-0002-2356-1690,10.1177/0148558x211062430,0148-558X,https://creativecommons.org/licenses/by/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/19322,None,None,None
0000-0002-5130-8203,10.1016/j.swevo.2024.101827,2210-6502,https://www.elsevier.com/tdm/userlicense/1.0/,www.elsevier.com,https://v2.sherpa.ac.uk/id/publication/18860,None,11157:fee_no:Must link to publisher version with DOI;11161:fee_no:Must link to published article with DOI Publisher source must be acknowledged with citation;,11159:fee_yes:Published source must be acknowledged with citation;11160:fee_yes:no conditions;
0000-0002-4348-7678,10.1113/JP288674,0022-3751,http://onlinelibrary.wiley.com/termsAndConditions#vor,onlinelibrary.wiley.com,https://v2.sherpa.ac.uk/id/publication/6978,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
0009-0000-6881-1908,10.1080/13691058.2024.2375606,1369-1058,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/5144,None,None,None
0000-0002-2473-8646,10.1177/14761270241274038,1476-1270,https://creativecommons.org/licenses/by/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/9492,None,None,None
0009-0004-9148-6831,10.1093/jme/tjaf096,0022-2585,https://creativecommons.org/licenses/by-nc-nd/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/14683,None,39:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with DOI Set phrase to accompany archived copy;,None
0000-0003-2909-8286,10.1080/00918369.2025.2507889,0091-8369,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/18959,None,None,None
0000-0001-6431-762X,10.1155/hsc/3998877,0966-0410,http://creativecommons.org/licenses/by/4.0/,creativecommons.org,None,None,None,None
0009-0005-0728-5082,10.1177/15269248251349783,1526-9248,https://journals.sagepub.com/page/policies/text-and-data-mining-license,journals.sagepub.com,https://v2.sherpa.ac.uk/id/publication/35707,None,None,None
0009-0005-0728-5082,10.1136/bmjopen-2024-088626,2044-6055,http://creativecommons.org/licenses/by-nc/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/17945,None,None,None
0000-0003-2866-264X,10.1017/S026021052500021X,0260-2105,http://creativecommons.org/licenses/by/4.0,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/2181,None,None,None
0009-0002-1363-4750,10.1016/j.jbc.2025.108327,0021-9258,https://www.elsevier.com/tdm/userlicense/1.0/,www.elsevier.com,https://v2.sherpa.ac.uk/id/publication/10347,None,None,None
0000-0002-8262-5412,10.1080/23750472.2023.2184714,2375-0472,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/36548,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
0000-0002-8262-5412,10.1080/2159676X.2024.2442659,2159-676X,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/22359,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
0000-0002-8262-5412,10.1080/16078055.2025.2461174,1607-8055,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/18992,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
0009-0000-5960-5803,10.1332/27324176y2024d000000029,2732-4176,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/41343,None,8372:fee_no:Must link to publisher version Publisher copyright and source must be acknowledged with citation Must be clearly identified as the author's post-acceptance version and state that it is not to be cited;,None
0009-0000-5960-5803,10.1177/0160449X251315770,0160-449X,https://creativecommons.org/licenses/by/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/9363,None,None,None
0009-0000-5960-5803,10.1177/0160449x251315770,0160-449X,https://creativecommons.org/licenses/by/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/9363,None,None,None
0009-0007-6382-1614,10.1177/20438206231202820,2043-8206,https://journals.sagepub.com/page/policies/text-and-data-mining-license,journals.sagepub.com,https://v2.sherpa.ac.uk/id/publication/9110,None,None,None
0009-0007-6382-1614,10.55533/2765-8414.1078,2765-8414,No URL retrieved,,None,None,None,None
0009-0004-6000-473X,10.1080/01916122.2025.2500055,0191-6122,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/5919,None,None,None
0000-0001-8332-4569,10.1017/S0272263125100879,0272-2631,http://creativecommons.org/licenses/by/4.0,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/2195,None,None,None
0000-0002-8427-3959,10.1016/j.apergo.2025.104587,0003-6870,https://www.elsevier.com/tdm/userlicense/1.0/,www.elsevier.com,https://v2.sherpa.ac.uk/id/publication/12437,None,11157:fee_no:Must link to publisher version with DOI;11161:fee_no:Must link to published article with DOI Publisher source must be acknowledged with citation;,11159:fee_yes:Published source must be acknowledged with citation;11160:fee_yes:no conditions;
0000-0002-8427-3959,10.1016/j.jbiomech.2025.112553,0021-9290,https://www.elsevier.com/tdm/userlicense/1.0/,www.elsevier.com,https://v2.sherpa.ac.uk/id/publication/13780,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
0000-0001-9063-0732,10.1002/dev.22495,0012-1630,http://onlinelibrary.wiley.com/termsAndConditions#vor,onlinelibrary.wiley.com,https://v2.sherpa.ac.uk/id/publication/14579,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
0009-0007-3799-137X,10.17269/s41997-024-00854-0,0008-4263,https://creativecommons.org/licenses/by/4.0,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/14334,None,11275:fee_no:Published source must be acknowledged with citation Must link to publisher version with DOI Post-prints are subject to Springer Nature re-use terms Set statement to accompany deposit (see policy);,None
0009-0000-4500-357X,10.3390/nu17071265,2072-6643,https://creativecommons.org/licenses/by/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/17521,None,None,None
0009-0000-4500-357X,10.3390/endocrines5030021,2673-396X,https://creativecommons.org/licenses/by/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/38191,None,None,None
0000-0002-3202-052X,10.5590/jerap.2024.14.1.10,2167-8693,No URL retrieved,,None,None,None,None
0000-0003-3026-5483,10.1029/2024AV001430,2576-604X,http://creativecommons.org/licenses/by/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/43732,None,None,None
0000-0001-7552-4747,10.1080/14927713.2025.2503188,1492-7713,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/19183,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
0000-0001-7552-4747,10.1007/s12662-024-01012-x,2509-3142,https://creativecommons.org/licenses/by/4.0,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/36033,None,11275:fee_no:Published source must be acknowledged with citation Must link to publisher version with DOI Post-prints are subject to Springer Nature re-use terms Set statement to accompany deposit (see policy);,None
0000-0001-7552-4747,10.1080/14927713.2025.2461784,1492-7713,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/19183,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
0000-0002-8473-6191,10.1017/S1369415425000147,1369-4154,https://creativecommons.org/licenses/by/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/16354,None,None,None
0000-0001-6489-4160,10.1002/chem.202500273,0947-6539,http://creativecommons.org/licenses/by-nc-nd/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/1518,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
