,ORCID,DOI,issn,LICENSE_URL
52,0000-0002-4791-6433,10.1007/s40617-025-01065-w,1998-1929,https://www.springernature.com/gp/researchers/text-and-data-mining
53,0000-0002-4791-6433,10.26522/jiste.v28i2.4787,2521-6015,https://creativecommons.org/licenses/by/4.0
54,0000-0002-3750-1779,10.1016/j.cjar.2020.10.001,1755-3091,https://www.elsevier.com/tdm/userlicense/1.0/
55,0000-0002-3750-1779,10.1177/0148558x17742821,0148-558X,https://journals.sagepub.com/page/policies/text-and-data-mining-license
56,0000-0002-3750-1779,10.2308/accr-51526,1558-7967,No URL retrieved
57,0000-0002-3750-1779,10.2308/jiar-51345,1558-8025,No URL retrieved
58,0000-0002-3750-1779,10.1108/ara-08-2014-0091,1321-7348,https://www.emerald.com/insight/site-policies
59,0000-0002-3750-1779,10.1080/09638180.2014.932297,0963-8180,No URL retrieved
60,0000-0002-3750-1779,10.1016/j.intacc.2012.07.004,0020-7063,https://www.elsevier.com/tdm/userlicense/1.0/
61,0000-0002-3750-1779,10.2308/atax-10150,0198-9073,No URL retrieved
62,0000-0002-3750-1779,10.1016/j.intacc.2011.04.005,0020-7063,https://www.elsevier.com/tdm/userlicense/1.0/
63,0000-0002-4247-6045,10.26522/brocked.v34i1.1186,2371-7750,No URL retrieved
64,0000-0002-4247-6045,10.1007/s40979-025-00182-x,1833-2595,https://creativecommons.org/licenses/by-nc-nd/4.0
65,0000-0002-0431-2787,10.1371/journal.pone.0224225,1932-6203,http://creativecommons.org/licenses/by/4.0/
66,0000-0002-0431-2787,10.1371/journal.pone.0151544,1932-6203,http://creativecommons.org/licenses/by/4.0/
67,0000-0002-0431-2787,10.1136/bmjopen-2015-008964,2044-6055,No URL retrieved
68,0000-0001-7215-4306,10.1002/ase.2464,1935-9772,http://creativecommons.org/licenses/by/4.0/
69,0000-0003-1410-4356,10.1080/21598282.2021.2005657,2159-8282,No URL retrieved
70,0000-0003-1410-4356,10.1080/21598282.2021.1924829,2159-8282,No URL retrieved
71,0000-0002-6591-6760,10.1002/ecog.07801,0906-7590,http://creativecommons.org/licenses/by/3.0/
72,0000-0002-6591-6760,10.1371/journal.pone.0322682,1932-6203,http://creativecommons.org/licenses/by/4.0/
73,0000-0002-6591-6760,10.1111/brv.70002,1464-7931,http://creativecommons.org/licenses/by-nc/4.0/
74,0000-0002-6591-6760,10.1242/jeb.250297,0022-0949,http://creativecommons.org/licenses/by/4.0
75,0000-0002-6591-6760,10.1139/cjz-2024-0063,0008-4301,http://www.nrcresearchpress.com/page/about/CorporateTextAndDataMining
76,0000-0002-6591-6760,10.1016/j.applanim.2024.106484,0168-1591,https://www.elsevier.com/tdm/userlicense/1.0/
77,0000-0002-6591-6760,10.1111/jav.03248,0908-8857,http://creativecommons.org/licenses/by/3.0/
78,0000-0002-6591-6760,10.1002/ECY.4525,0012-9658,http://creativecommons.org/licenses/by-nc/4.0/
79,0000-0002-2356-1690,10.1177/0148558x211062430,0148-558X,https://creativecommons.org/licenses/by/4.0/
80,0000-0002-5130-8203,10.1016/j.swevo.2024.101827,2210-6502,https://www.elsevier.com/tdm/userlicense/1.0/
81,0000-0002-4348-7678,10.1113/JP288674,0022-3751,http://onlinelibrary.wiley.com/termsAndConditions#vor
82,0009-0000-6881-1908,10.1080/13691058.2024.2375606,1369-1058,No URL retrieved
83,0000-0002-2473-8646,10.1177/14761270241274038,1476-1270,https://creativecommons.org/licenses/by/4.0/
84,0009-0004-9148-6831,10.1093/jme/tjaf096,0022-2585,https://creativecommons.org/licenses/by-nc-nd/4.0/
85,0000-0003-2909-8286,10.1080/00918369.2025.2507889,0091-8369,No URL retrieved
86,0000-0001-6431-762X,10.1155/hsc/3998877,0966-0410,http://creativecommons.org/licenses/by/4.0/
87,0009-0005-0728-5082,10.1177/15269248251349783,1526-9248,https://journals.sagepub.com/page/policies/text-and-data-mining-license
88,0009-0005-0728-5082,10.1136/bmjopen-2024-088626,2044-6055,http://creativecommons.org/licenses/by-nc/4.0/
89,0000-0003-2866-264X,10.1017/S026021052500021X,0260-2105,http://creativecommons.org/licenses/by/4.0
90,0009-0002-1363-4750,10.1016/j.jbc.2025.108327,0021-9258,https://www.elsevier.com/tdm/userlicense/1.0/
91,0000-0002-8262-5412,10.1080/23750472.2023.2184714,2375-0472,No URL retrieved
92,0000-0002-8262-5412,10.1080/2159676X.2024.2442659,2159-676X,No URL retrieved
93,0000-0002-8262-5412,10.1080/16078055.2025.2461174,1607-8055,No URL retrieved
94,0009-0000-5960-5803,10.1332/27324176y2024d000000029,2732-4176,No URL retrieved
95,0009-0000-5960-5803,10.1177/0160449X251315770,0160-449X,https://creativecommons.org/licenses/by/4.0/
96,0009-0000-5960-5803,10.1177/0160449x251315770,0160-449X,https://creativecommons.org/licenses/by/4.0/
97,0009-0007-6382-1614,10.1177/20438206231202820,2043-8206,https://journals.sagepub.com/page/policies/text-and-data-mining-license
98,0009-0007-6382-1614,10.55533/2765-8414.1078,2765-8414,No URL retrieved
99,0009-0004-6000-473X,10.1080/01916122.2025.2500055,0191-6122,No URL retrieved
100,0000-0001-8332-4569,10.1017/S0272263125100879,0272-2631,http://creativecommons.org/licenses/by/4.0
101,0000-0002-8427-3959,10.1016/j.apergo.2025.104587,0003-6870,https://www.elsevier.com/tdm/userlicense/1.0/
102,0000-0002-8427-3959,10.1016/j.jbiomech.2025.112553,0021-9290,https://www.elsevier.com/tdm/userlicense/1.0/
103,0000-0001-9063-0732,10.1002/dev.22495,0012-1630,http://onlinelibrary.wiley.com/termsAndConditions#vor
104,0009-0007-3799-137X,10.17269/s41997-024-00854-0,0008-4263,https://creativecommons.org/licenses/by/4.0
105,0009-0000-4500-357X,10.3390/nu17071265,2072-6643,https://creativecommons.org/licenses/by/4.0/
106,0009-0000-4500-357X,10.3390/endocrines5030021,2673-396X,https://creativecommons.org/licenses/by/4.0/
107,0000-0002-3202-052X,10.5590/jerap.2024.14.1.10,2167-8693,No URL retrieved
108,0000-0003-3026-5483,10.1029/2024AV001430,2576-604X,http://creativecommons.org/licenses/by/4.0/
109,0000-0001-7552-4747,10.1080/14927713.2025.2503188,1492-7713,No URL retrieved
110,0000-0001-7552-4747,10.1007/s12662-024-01012-x,2509-3142,https://creativecommons.org/licenses/by/4.0
111,0000-0001-7552-4747,10.1080/14927713.2025.2461784,1492-7713,No URL retrieved
112,0000-0002-8473-6191,10.1017/S1369415425000147,1369-4154,https://creativecommons.org/licenses/by/4.0/
113,0000-0001-6489-4160,10.1002/chem.202500273,0947-6539,http://creativecommons.org/licenses/by-nc-nd/4.0/
114,0000-0003-0836-0599,10.1002/jaba.70002,0021-8855,http://creativecommons.org/licenses/by-nc-nd/4.0/
115,0009-0007-2925-5508,10.1016/j.micinf.2024.105464,1286-4579,https://www.elsevier.com/tdm/userlicense/1.0/
116,0009-0003-9749-8377,10.1103/PhysRevB.111.L020102,2469-9950,https://link.aps.org/licenses/aps-default-license
117,0000-0003-1487-9629,10.3390/agriculture15141532,2077-0472,https://creativecommons.org/licenses/by/4.0/
118,0000-0003-1487-9629,10.3390/v17060827,1999-4915,https://creativecommons.org/licenses/by/4.0/
119,0000-0001-7057-5860,10.1080/14681811.2024.2362389,1468-1811,No URL retrieved
120,0000-0001-7057-5860,10.1080/1600910X.2023.2250926,1600-910X,No URL retrieved
121,0000-0001-7057-5860,10.1177/09075682251316993,0907-5682,https://journals.sagepub.com/page/policies/text-and-data-mining-license
122,0000-0001-7057-5860,10.1080/09518398.2025.2452633,0951-8398,No URL retrieved
123,0000-0001-8925-3108,10.3390/educsci15060730,2227-7102,https://creativecommons.org/licenses/by/4.0/
124,0000-0001-8925-3108,10.1080/08878730.2024.2401559,0887-8730,No URL retrieved
125,0000-0001-8925-3108,10.18848/2327-7955/CGP/v32i02/67-88,2327-7955,No URL retrieved
126,0000-0002-7352-4775,10.1177/1356336X241282492,1356-336X,https://journals.sagepub.com/page/policies/text-and-data-mining-license
127,0000-0002-7352-4775,10.1080/25742981.2024.2371392,2574-2981,http://creativecommons.org/licenses/by-nc-nd/4.0/
128,0000-0002-7352-4775,10.1177/1356336X241269654,1356-336X,https://journals.sagepub.com/page/policies/text-and-data-mining-license
129,0000-0002-7352-4775,10.1080/13573322.2024.2313992,1357-3322,http://creativecommons.org/licenses/by/4.0/
130,0000-0002-7352-4775,10.1123/kr.2024-0061,2163-0453,No URL retrieved
131,0000-0001-9959-9938,10.1139/cjp-2024-0240,0008-4204,https://creativecommons.org/licenses/by/4.0/deed.en_GB
132,0009-0008-1923-4786,10.1007/s00040-024-01007-9,0020-1812,https://www.springernature.com/gp/researchers/text-and-data-mining
133,0000-0002-6222-7863,10.1177/13548166241280404,1354-8166,https://journals.sagepub.com/page/policies/text-and-data-mining-license
134,0000-0002-4475-8134,10.1016/j.copsyc.2025.102069,2352-250X,https://www.elsevier.com/tdm/userlicense/1.0/
135,0000-0002-4475-8134,10.1007/s10862-025-10230-y,0882-2689,https://www.springernature.com/gp/researchers/text-and-data-mining
136,0000-0002-4475-8134,10.1016/j.jrp.2025.104609,0092-6566,https://www.elsevier.com/tdm/userlicense/1.0/
137,0000-0002-4475-8134,10.1037/ebs0000374,2330-2933,No URL retrieved
138,0000-0002-4475-8134,10.1017/S0954579424000051,0954-5794,http://creativecommons.org/licenses/by/4.0/
139,0000-0002-1577-2658,10.3390/biomedicines12071569,2227-9059,https://creativecommons.org/licenses/by/4.0/
140,0000-0002-1577-2658,10.1002/alz.14463,1552-5260,http://creativecommons.org/licenses/by/4.0/
141,0000-0002-1577-2658,10.1152/ajpregu.00270.2023,0363-6119,No URL retrieved
142,0000-0002-1577-2658,10.3390/ijms25041950,1422-0067,https://creativecommons.org/licenses/by/4.0/
143,0000-0002-1577-2658,10.14814/phy2.15960,2051-817X,http://creativecommons.org/licenses/by/4.0/
144,0000-0002-1577-2658,10.1152/ajpcell.00398.2023,0363-6143,No URL retrieved
145,0000-0002-1577-2658,10.1016/j.isci.2024.109468,2589-0042,https://www.elsevier.com/tdm/userlicense/1.0/
146,0000-0002-1577-2658,10.14814/phy2.70001,2051-817X,http://creativecommons.org/licenses/by/4.0/
147,0000-0002-1577-2658,10.1038/s41467-024-53886-y,2041-1723,https://creativecommons.org/licenses/by-nc-nd/4.0
148,0000-0002-1577-2658,10.1139/apnm-2024-0019,1715-5312,http://www.nrcresearchpress.com/page/about/CorporateTextAndDataMining
149,0000-0002-1577-2658,10.1113/JP286962,0022-3751,http://creativecommons.org/licenses/by/4.0/
150,0000-0002-1577-2658,10.1016/j.npep.2024.102473,0143-4179,https://www.elsevier.com/tdm/userlicense/1.0/
151,0000-0002-1577-2658,10.1113/JP287909,0022-3751,http://onlinelibrary.wiley.com/termsAndConditions#vor
152,0000-0002-1577-2658,10.1152/japplphysiol.00520.2022,8750-7587,No URL retrieved
153,0000-0002-1577-2658,10.2174/1570159X20666220302151224,1570-159X,No URL retrieved
154,0000-0002-1577-2658,10.3389/fphys.2022.1061715,1664-042X,https://creativecommons.org/licenses/by/4.0/
155,0000-0002-1577-2658,10.1152/japplphysiol.00114.2023,8750-7587,No URL retrieved
156,0000-0002-1577-2658,10.15252/emmm.202318526,1757-4676,http://creativecommons.org/licenses/by/4.0/
157,0000-0002-1577-2658,10.14814/phy2.15852,2051-817X,http://creativecommons.org/licenses/by/4.0/
158,0000-0002-1577-2658,10.3233/JAD-220813,1387-2877,No URL retrieved
159,0000-0002-1577-2658,10.1113/EP091274,0958-0670,http://creativecommons.org/licenses/by/4.0/
160,0000-0002-1577-2658,10.1002/jbmr.4768,0884-0431,https://creativecommons.org/licenses/by-nc-nd/4.0/
161,0000-0002-1577-2658,10.1152/ajpregu.00297.2021,0363-6119,No URL retrieved
162,0000-0002-1577-2658,10.3390/cells11010167,2073-4409,https://creativecommons.org/licenses/by/4.0/
163,0000-0002-1577-2658,10.1002/2211-5463.13317,2211-5463,http://creativecommons.org/licenses/by/4.0/
164,0000-0002-1577-2658,10.3390/cells11152354,2073-4409,https://creativecommons.org/licenses/by/4.0/
165,0000-0002-1577-2658,10.3389/fendo.2022.1037434,1664-2392,https://creativecommons.org/licenses/by/4.0/
166,0000-0002-1577-2658,10.1113/EP090381,0958-0670,http://onlinelibrary.wiley.com/termsAndConditions#vor
167,0000-0002-1577-2658,10.1016/j.jbc.2022.102568,0021-9258,https://www.elsevier.com/tdm/userlicense/1.0/
168,0000-0002-1577-2658,10.1152/ajpcell.00418.2021,0363-6143,No URL retrieved
169,0000-0002-1577-2658,10.1016/j.isci.2022.104972,2589-0042,https://www.elsevier.com/tdm/userlicense/1.0/
170,0000-0002-1577-2658,10.14814/phy2.15232,2051-817X,http://creativecommons.org/licenses/by/4.0/
171,0000-0002-1577-2658,10.3389/fendo.2022.957182,1664-2392,https://creativecommons.org/licenses/by/4.0/
172,0000-0002-1577-2658,10.1007/s11682-021-00570-0,1931-7557,https://www.springer.com/tdm
173,0000-0002-1577-2658,10.3389/fendo.2022.1069404,1664-2392,https://creativecommons.org/licenses/by/4.0/
174,0000-0002-1577-2658,10.1172/jci.insight.143141,2379-3708,http://creativecommons.org/licenses/by/4.0/
175,0000-0002-1577-2658,10.3390/nu13072406,2072-6643,https://creativecommons.org/licenses/by/4.0/
176,0000-0002-1577-2658,10.3389/fncel.2021.665867,1662-5102,https://creativecommons.org/licenses/by/4.0/
177,0000-0002-1577-2658,10.1152/jn.00489.2020,0022-3077,No URL retrieved
178,0000-0002-1577-2658,10.1152/AJPENDO.00008.2021,0193-1849,No URL retrieved
179,0000-0002-1577-2658,10.1002/1873-3468.14213,0014-5793,http://onlinelibrary.wiley.com/termsAndConditions#vor
180,0000-0002-1577-2658,10.1210/clinem/dgab333,0021-972X,https://academic.oup.com/journals/pages/open_access/funder_policies/chorus/standard_publication_model
181,0000-0002-1577-2658,10.3390/ijms22094628,1422-0067,https://creativecommons.org/licenses/by/4.0/
182,0000-0002-1577-2658,10.1139/apnm-2020-0592,1715-5312,http://www.nrcresearchpress.com/page/about/CorporateTextAndDataMining
183,0000-0002-1577-2658,10.1139/apnm-2020-0014,1715-5312,http://www.nrcresearchpress.com/page/about/CorporateTextAndDataMining
184,0000-0002-1577-2658,10.1139/apnm-2021-0301,1715-5312,http://www.nrcresearchpress.com/page/about/CorporateTextAndDataMining
185,0000-0002-1577-2658,10.1249/MSS.0000000000002242,1530-0315,No URL retrieved
186,0000-0002-1577-2658,10.1139/apnm-2019-0910,1715-5312,http://www.nrcresearchpress.com/page/about/CorporateTextAndDataMining
187,0000-0002-1577-2658,10.3390/cells9051114,2073-4409,https://creativecommons.org/licenses/by/4.0/
188,0000-0001-6350-2540,10.1007/s10565-022-09773-7,0742-2091,https://www.springernature.com/gp/researchers/text-and-data-mining
189,0000-0002-9196-0757,10.1016/j.aehs.2025.06.001,2950-273X,https://www.elsevier.com/tdm/userlicense/1.0/
190,0009-0008-7681-5843,10.1123/jsr.2024-0002,1056-6716,No URL retrieved
191,0000-0003-4587-7191,10.1113/JP288032,0022-3751,http://creativecommons.org/licenses/by/4.0/
192,0000-0002-8607-4443,10.1080/02673037.2024.2355197,0267-3037,No URL retrieved
193,0000-0002-8607-4443,10.1080/13691058.2024.2351996,1369-1058,No URL retrieved
194,0009-0005-1344-588X,10.21463/shima.234,1834-6057,No URL retrieved
195,0000-0001-5396-6122,10.1007/s40489-023-00400-7,2195-7177,https://www.springernature.com/gp/researchers/text-and-data-mining
196,0000-0003-4907-1937,10.1057/s41260-024-00385-w,1470-8272,https://www.springernature.com/gp/researchers/text-and-data-mining
197,0000-0003-4907-1937,10.1016/j.frl.2025.107136,1544-6123,https://www.elsevier.com/tdm/userlicense/1.0/
198,0009-0006-0007-3519,10.31389/jltc.369,2516-9122,No URL retrieved
199,0009-0006-0007-3519,10.1371/journal.pone.0310117,1932-6203,http://creativecommons.org/licenses/by/4.0/
200,0009-0006-0007-3519,10.5206/ijoh.2023.3.16751,2564-310X,https://creativecommons.org/licenses/by-nc-sa/4.0
201,0009-0006-0007-3519,10.3138/jmvfh-2023-0029,2368-7924,No URL retrieved
202,0009-0006-0007-3519,10.1016/j.ypmed.2024.107846,0091-7435,https://www.elsevier.com/tdm/userlicense/1.0/
203,0009-0006-0007-3519,10.1186/s12889-023-16060-5,1471-2458,https://creativecommons.org/licenses/by/4.0
204,0009-0006-0007-3519,10.1177/23337214231189930,2333-7214,https://creativecommons.org/licenses/by-nc/4.0/
205,0009-0006-0007-3519,10.1177/1053825920952086,1053-8259,https://journals.sagepub.com/page/policies/text-and-data-mining-license
206,0009-0006-0007-3519,10.1080/03601277.2019.1584976,0360-1277,No URL retrieved
207,0009-0006-0007-3519,10.7870/cjcmh-2018-022,0713-3936,No URL retrieved
208,0009-0006-0007-3519,10.3109/17483107.2016.1158327,1748-3107,No URL retrieved
209,0009-0006-0007-3519,10.3109/09638288.2013.837970,0963-8288,No URL retrieved
210,0000-0001-9796-5156,10.1007/s11266-025-00751-1,0957-8765,https://www.springernature.com/gp/researchers/text-and-data-mining
211,0000-0001-9796-5156,10.5465/amle.2022.0435,1537-260X,No URL retrieved
212,0000-0003-0063-3935,10.1021/acs.joc.5c00730,0022-3263,https://doi.org/10.15223/policy-029
213,0000-0003-0063-3935,10.1039/D5SC01857A,2041-6520,http://creativecommons.org/licenses/by/3.0/
214,0009-0005-8752-1347,10.1016/j.biopsych.2025.06.032,0006-3223,https://www.elsevier.com/tdm/userlicense/1.0/
215,0009-0005-8752-1347,10.1016/j.ajcnut.2024.10.022,0002-9165,https://www.elsevier.com/tdm/userlicense/1.0/
216,0009-0005-8752-1347,10.1111/cdev.14192,0009-3920,http://creativecommons.org/licenses/by-nc-nd/4.0/
217,0000-0001-9699-9098,10.1177/19485506241284079,1948-5506,https://journals.sagepub.com/page/policies/text-and-data-mining-license
218,0000-0001-9699-9098,10.1002/casp.70112,1052-9284,http://creativecommons.org/licenses/by/4.0/
219,0000-0001-9699-9098,10.1038/s44159-025-00465-7,2731-0574,https://www.springernature.com/gp/researchers/text-and-data-mining
220,0000-0001-9699-9098,10.1038/s44159-025-00444-y,2731-0574,https://www.springernature.com/gp/researchers/text-and-data-mining
221,0000-0001-9699-9098,10.1037/emo0000738,1931-1516,No URL retrieved
222,0000-0002-9757-2771,10.1111/dmcn.16186,0012-1622,http://onlinelibrary.wiley.com/termsAndConditions#vor
223,0000-0002-9757-2771,10.1007/s10578-025-01858-8,0009-398X,https://creativecommons.org/licenses/by/4.0
224,0000-0002-9757-2771,10.1123/pes.2023-0074,0899-8493,No URL retrieved
225,0000-0002-9757-2771,10.1007/s12529-024-10280-8,1070-5503,https://www.springernature.com/gp/researchers/text-and-data-mining
226,0000-0002-9757-2771,10.2196/52887,2291-5222,No URL retrieved
227,0000-0002-9757-2771,10.1093/abm/kaaf002,0883-6612,https://academic.oup.com/pages/standard-publication-reuse-rights
228,0000-0002-7274-4645,10.1080/16184742.2024.2404439,1618-4742,No URL retrieved
229,0000-0002-7274-4645,10.1123/jsm.2025-0138,0888-4773,No URL retrieved
230,0000-0002-7274-4645,10.1080/14413523.2025.2493430,1441-3523,http://creativecommons.org/licenses/by-nc-nd/4.0/
231,0000-0002-7274-4645,10.1123/jsm.2025-0068,0888-4773,No URL retrieved
232,0000-0002-7274-4645,10.1080/23750472.2023.2170266,2375-0472,No URL retrieved
233,0000-0002-7274-4645,10.1123/jsm.2025-0005,0888-4773,No URL retrieved
234,0000-0002-7274-4645,10.1080/23750472.2022.2138515,2375-0472,No URL retrieved
235,0000-0003-3954-5086,10.1088/3033-4942/adc829,3033-4942,http://creativecommons.org/licenses/by/4.0
236,0000-0002-0853-5160,10.1002/hec.70007,1057-9230,http://creativecommons.org/licenses/by-nc-nd/4.0/
237,0000-0002-3913-9961,10.1080/13607863.2025.2532666,No ISSN found,No URL retrieved
238,0000-0002-3913-9961,10.1093/geronb/gbaf111,1758-5368,https://academic.oup.com/pages/standard-publication-reuse-rights
239,0000-0002-3913-9961,10.1080/13607863.2025.2502782,1360-7863,No URL retrieved
240,0000-0002-3913-9961,10.1016/j.inpsyc.2025.100052,1041-6102,https://www.elsevier.com/tdm/userlicense/1.0/
241,0000-0002-3913-9961,10.1093/geront/gnaf012,0016-9013,https://academic.oup.com/pages/standard-publication-reuse-rights
242,0000-0002-3913-9961,10.1007/S00391-023-02196-X,0948-6704,https://creativecommons.org/licenses/by/4.0
243,0000-0002-3913-9961,10.1002/MPR.2027,1049-8931,http://creativecommons.org/licenses/by-nc/4.0/
244,0000-0002-3913-9961,10.1016/J.JAD.2024.06.055,0165-0327,https://www.elsevier.com/tdm/userlicense/1.0/
245,0000-0002-3913-9961,10.1159/000534187,0304-324X,https://karger.com/pages/terms-and-conditions
246,0000-0002-3913-9961,10.1186/S12903-023-03265-8,1472-6831,https://creativecommons.org/licenses/by/4.0
247,0000-0003-1476-2965,10.1177/03128962251334223,0312-8962,https://journals.sagepub.com/page/policies/text-and-data-mining-license
248,0000-0003-1476-2965,10.1108/IJOA-07-2024-4651,1934-8835,https://www.emerald.com/insight/site-policies
249,0000-0003-1476-2965,10.1017/JMO.2020.18,1833-3672,https://www.cambridge.org/core/terms
250,0000-0003-1476-2965,10.1111/EMRE.12611,1740-4754,http://creativecommons.org/licenses/by-nc-nd/4.0/
251,0000-0003-1476-2965,10.1016/J.EMJ.2024.03.010,0263-2373,https://www.elsevier.com/tdm/userlicense/1.0/
252,0000-0003-1476-2965,10.1108/ijoa-07-2024-4651,1934-8835,https://www.emerald.com/insight/site-policies
253,0000-0003-1476-2965,10.1177/03063070241304481,0306-3070,https://creativecommons.org/licenses/by/4.0/
254,0000-0003-1476-2965,10.1108/JOEPP-03-2024-0105,2051-6614,https://www.emerald.com/insight/site-policies
255,0000-0003-1476-2965,10.1080/15228916.2024.2337336,1522-8916,No URL retrieved
256,0000-0003-1476-2965,10.1108/joepp-03-2024-0105,2051-6614,https://www.emerald.com/insight/site-policies
257,0000-0003-1476-2965,10.1002/cjas.1745,0825-0383,http://creativecommons.org/licenses/by/4.0/
