,ORCID,DOI
138,0000-0003-1476-2965,10.1108/md-05-2019-0581
139,0000-0003-1476-2965,10.1108/IJOA-07-2019-1837
140,0000-0003-1476-2965,10.1108/pr-12-2018-0484
141,0000-0003-1476-2965,10.17605/osf.io/dfne5
142,0000-0003-1476-2965,10.1007/s10551-018-4076-y
143,0000-0003-1476-2965,10.1017/jmo.2019.76
144,0000-0003-1476-2965,10.1016/j.jbusres.2020.01.064
145,0000-0003-1476-2965,10.1177/1548051819857741
146,0000-0003-1476-2965,10.1108/md-09-2019-1211
147,0000-0003-1476-2965,10.1108/pr-08-2019-0461
148,0000-0003-1476-2965,10.1017/jmo.2020.7
149,0000-0003-1476-2965,10.1002/ijop.12606
150,0000-0003-1476-2965,10.1108/ijoa-03-2020-2094
151,0000-0003-1476-2965,10.1177/0312896218775153
152,0000-0003-1476-2965,10.1108/pr-01-2019-0030
153,0000-0003-1476-2965,10.1108/ijebr-12-2017-0503
154,0000-0003-1476-2965,10.1007/s10551-017-3541-3
155,0000-0003-1476-2965,10.1177/0021886319853803
156,0000-0003-1476-2965,10.1017/jmo.2019.56
157,0000-0003-1476-2965,10.1108/IJEBR-07-2018-0465
158,0000-0003-1476-2965,10.1080/00223980.2018.1508401
159,0000-0003-1476-2965,10.1111/caim.12278
160,0000-0003-1476-2965,10.1111/caim.12328
161,0000-0003-1476-2965,10.1111/1744-7941.12178
162,0000-0003-1476-2965,10.1080/00223980.2019.1567453
163,0000-0003-1476-2965,10.1108/pr-07-2018-0241
164,0000-0003-1476-2965,10.1108/pr-02-2018-0052
165,0000-0003-1476-2965,10.1108/pr-02-2017-0039
166,0000-0003-1476-2965,10.1016/j.jbusres.2018.04.002
167,0000-0003-1476-2965,10.1108/MRJIAM-07-2017-0768
168,0000-0003-1476-2965,10.1108/MD-03-2017-0187
169,0000-0003-1476-2965,10.1007/s10551-015-3004-7
170,0000-0003-1476-2965,10.4135/9781473984080
171,0000-0003-1476-2965,10.1016/j.jbusres.2017.09.006
172,0000-0003-1476-2965,10.4337/9781786432919.00007
173,0000-0003-1476-2965,10.1108/PR-06-2017-0192
174,0000-0003-1476-2965,10.1017/jmo.2017.7
175,0000-0003-1476-2965,10.1016/j.emj.2016.06.008
176,0000-0003-1476-2965,10.1016/j.jbusres.2017.04.013
177,0000-0003-1476-2965,10.1108/PR-08-2015-0221
178,0000-0003-1476-2965,10.1002/hrm.21761
179,0000-0003-1476-2965,10.1177/1548051816664680
180,0000-0003-1476-2965,10.1007/s10869-016-9455-8
181,0000-0003-1476-2965,10.1016/j.ibusrev.2015.12.001
182,0000-0003-1476-2965,10.1016/j.lindif.2016.08.043
183,0000-0003-1476-2965,10.1002/hrdq.21258
184,0000-0003-1476-2965,10.1111/etap.12121
185,0000-0003-1476-2965,10.1007/s11365-014-0328-1
186,0000-0003-1476-2965,10.1002/sej.1189
187,0000-0003-1476-2965,10.1177/0266242614540316
188,0000-0003-1476-2965,10.1108/JOEPP-09-2015-0033
189,0000-0003-1476-2965,10.1016/j.jfbs.2015.04.003
190,0000-0003-1476-2965,10.1111/radm.12090
191,0000-0003-1476-2965,10.1177/0266242613502801
192,0000-0003-1476-2965,10.1007/s11187-013-9471-2
193,0000-0003-1476-2965,10.1016/j.ibusrev.2014.03.001
194,0000-0003-1476-2965,10.1509/jim.13.0131
195,0000-0003-1476-2965,10.1007/s11187-013-9515-7
196,0000-0003-1476-2965,10.1111/apps.12006
197,0000-0003-1476-2965,10.1002/hrdq.21185
198,0000-0003-1476-2965,10.1007/s10551-013-1902-0
199,0000-0003-1476-2965,10.1111/joms.12012
200,0000-0003-1476-2965,10.1111/j.1540-5885.2012.00986.x
201,0000-0003-1476-2965,10.1111/j.1540-6520.2011.00470.x
202,0000-0003-1476-2965,10.1177/0018726713481634
203,0000-0003-1476-2965,10.1111/etap.12021
204,0000-0003-1476-2965,10.1016/j.technovation.2012.12.002
205,0000-0003-1476-2965,10.1177/0266242611432360
206,0000-0003-1476-2965,10.1016/j.ibusrev.2011.02.001
207,0000-0003-1476-2965,10.1111/j.1467-9310.2011.00666.x
208,0000-0003-1476-2965,10.1016/j.jbusvent.2011.09.003
209,0000-0003-1476-2965,10.4337/9781781009116.00013
210,0000-0003-1476-2965,10.1111/j.1540-5885.2011.00830.x
211,0000-0003-1476-2965,10.1016/j.ibusrev.2010.08.005
212,0000-0003-1476-2965,10.1111/j.1467-6486.2010.00999.x
213,0000-0003-1476-2965,10.1080/08985626.2011.580164
214,0000-0003-1476-2965,10.1177/0266242610372460
215,0000-0003-1476-2965,10.1109/TEM.2010.2048911
216,0000-0003-1476-2965,10.1016/j.ibusrev.2009.09.002
217,0000-0003-1476-2965,10.1016/j.jbusvent.2009.01.004
218,0000-0003-1476-2965,10.1080/08276331.2009.10593446
219,0000-0003-1476-2965,10.1016/j.jbusvent.2008.04.008
220,0000-0003-1476-2965,10.1177/1350508409337580
221,0000-0003-1476-2965,10.1111/j.1540-627X.2009.00276.x
222,0000-0003-1476-2965,10.1177/0266242609334971
223,0000-0003-1476-2965,10.1016/j.jbusres.2008.10.021
224,0000-0003-1476-2965,10.1007/s11747-008-0122-0
225,0000-0003-1476-2965,10.2139/ssrn.1310888
226,0000-0003-1476-2965,10.1080/08276331.2008.10593426
227,0000-0003-1476-2965,10.1057/palgrave.jibs.8400382
228,0000-0003-1476-2965,10.1111/j.1467-6486.2007.00764.x
229,0000-0003-1476-2965,10.1057/palgrave.jibs.8400343
230,0000-0003-1476-2965,10.1111/j.1467-6486.2007.00747.x
231,0000-0003-1476-2965,10.1007/s11187-008-9132-z
232,0000-0003-1476-2965,10.1111/j.1540-6520.2008.00247.x
233,0000-0003-1476-2965,10.1177/097135570701600202
234,0000-0003-1476-2965,10.4337/9781847206985.00020
235,0000-0003-1476-2965,10.1111/j.1540-627X.2007.00223.x
236,0000-0003-1476-2965,10.4337/9781847208781.00015
237,0000-0003-1476-2965,10.4337/9781847204172.00019
238,0000-0003-1476-2965,10.5465/AMP.2006.21903483
239,0000-0003-1476-2965,10.1016/j.jbusvent.2005.04.007
240,0000-0003-1476-2965,10.1177/0266242606065507
241,0000-0003-1476-2965,10.1111/j.1540-6520.2006.00118.x
242,0000-0003-1476-2965,10.1007/s11187-005-1988-6
243,0000-0003-1476-2965,10.1016/j.jbusvent.2004.03.001
244,0000-0003-1476-2965,10.1080/13691060500258943
245,0000-0003-1476-2965,10.1007/s11187-005-5333-x
246,0000-0003-1476-2965,10.1111/j.1540-6520.2005.00096.x
247,0000-0003-1476-2965,10.1080/1369106042000277688
248,0000-0003-1476-2965,10.1080/08985620410001677835
249,0000-0003-1476-2965,10.1080/13691060116688
250,0000-0003-1476-2965,10.1080/136910601300050339
251,0000-0003-1476-2965,10.1080/13691060110045661
252,0000-0003-1476-2965,10.1080/146324400363527
253,0000-0001-7289-2675,10.1016/j.ijbiomac.2025.141450
254,0000-0001-7289-2675,10.1139/cjb-2024-0080
255,0000-0003-0063-3935,10.1039/D5SC01857A
256,0000-0003-3777-1987,10.1177/00187267241251956
257,0000-0002-5404-002X,10.1111/ijmr.12394
258,0000-0001-9637-6106,10.1080/10550887.2024.2355370
259,0000-0001-9637-6106,10.1016/j.paid.2018.01.012
260,0000-0003-3042-5862,10.1080/14623943.2025.2494308
261,0000-0002-8262-5412,10.1080/23750472.2023.2184714
262,0000-0002-8262-5412,10.1080/2159676X.2024.2442659
263,0000-0002-8262-5412,10.1080/16078055.2025.2461174
264,0000-0001-9258-1612,10.3390/v17060827
265,0000-0002-9407-9527,10.20360/langandlit29758
266,0000-0002-4475-8134,10.1016/j.copsyc.2025.102069
267,0000-0002-4475-8134,10.1007/s10862-025-10230-y
268,0000-0002-4475-8134,10.1016/j.jrp.2025.104609
269,0000-0002-4475-8134,10.1037/ebs0000374
270,0000-0002-4475-8134,10.1017/S0954579424000051
271,0000-0003-1549-6021,10.1007/s42322-024-00182-4
272,0000-0002-4247-6045,10.26522/brocked.v34i1.1186
273,0000-0002-4247-6045,10.1007/s40979-025-00182-x
274,0000-0002-0431-2787,10.1371/journal.pone.0224225
275,0000-0002-0431-2787,10.1371/journal.pone.0151544
276,0000-0002-0431-2787,10.1136/bmjopen-2015-008964
277,0000-0001-7215-4306,10.1002/ase.2464
278,0000-0003-1410-4356,10.1080/21598282.2021.2005657
279,0000-0003-1410-4356,10.1080/21598282.2021.1924829
280,0000-0003-4907-1937,10.1016/j.frl.2025.107136
281,0000-0002-5130-8203,10.1016/j.swevo.2024.101827
282,0000-0002-6222-7863,10.1177/13548166241280404
283,0000-0002-4348-7678,10.1113/JP288674
284,0009-0000-6881-1908,10.1080/13691058.2024.2375606
285,0000-0002-2473-8646,10.1177/14761270241274038
286,0009-0006-0007-3519,10.1371/journal.pone.0310117
287,0009-0006-0007-3519,10.5206/ijoh.2023.3.16751
288,0009-0006-0007-3519,10.3138/jmvfh-2023-0029
289,0009-0006-0007-3519,10.1016/j.ypmed.2024.107846
290,0009-0006-0007-3519,10.1186/s12889-023-16060-5
291,0009-0006-0007-3519,10.1177/23337214231189930
292,0009-0006-0007-3519,10.1177/1053825920952086
293,0009-0006-0007-3519,10.1080/03601277.2019.1584976
294,0009-0006-0007-3519,10.7870/cjcmh-2018-022
295,0009-0006-0007-3519,10.3109/17483107.2016.1158327
296,0009-0006-0007-3519,10.3109/09638288.2013.837970
297,0009-0000-5960-5803,10.1332/27324176y2024d000000029
298,0009-0000-5960-5803,10.1177/0160449X251315770
299,0009-0000-5960-5803,10.1177/0160449x251315770
300,0000-0002-3626-5903,10.18584/iipj.2024.15.3.15359
301,0009-0006-6738-7010,10.1177/13691481241309271
302,0009-0007-6382-1614,10.1177/20438206231202820
303,0009-0007-6382-1614,10.55533/2765-8414.1078
304,0009-0004-6000-473X,10.1080/01916122.2025.2500055
305,0000-0001-8332-4569,10.1017/S0272263125100879
306,0000-0003-3026-5483,10.1029/2024AV001430
307,0000-0001-7552-4747,10.1080/14927713.2025.2503188
308,0000-0001-7552-4747,10.1007/s12662-024-01012-x
309,0000-0001-7552-4747,10.1080/14927713.2025.2461784
310,0000-0002-6603-310X,10.1177/07439156241286499
311,0000-0002-6603-310X,10.1177/02734753241266170
312,0000-0002-6603-310X,10.1109/TEM.2025.3534088
313,0000-0002-6603-310X,10.1016/j.msj.2025.100005
314,0000-0002-6603-310X,10.1177/1094670519878881
315,0000-0001-9063-0732,10.1002/dev.22495
316,0009-0007-3799-137X,10.17269/s41997-024-00854-0
317,0000-0002-7274-4645,10.1123/jsm.2025-0138
318,0000-0002-7274-4645,10.1123/jsm.2025-0068
319,0000-0002-7274-4645,10.1080/14413523.2025.2493430
320,0000-0002-7274-4645,10.1080/23750472.2023.2170266
321,0000-0002-7274-4645,10.1123/jsm.2025-0005
322,0000-0002-7274-4645,10.1080/23750472.2022.2138515
323,0009-0000-4500-357X,10.3390/nu17071265
324,0009-0000-4500-357X,10.3390/endocrines5030021
325,0000-0002-4749-8120,10.1016/j.micinf.2024.105464
326,0000-0002-3202-052X,10.5590/jerap.2024.14.1.10
327,0000-0002-6000-9029,10.1177/00380261251335443
328,0000-0003-2909-8286,10.1080/00918369.2025.2507889
329,0000-0001-6431-762X,10.1155/hsc/3998877
330,0000-0001-7621-752X,10.1089/aut.2024.0179
331,0000-0001-7621-752X,10.1108/PIJPSM-06-2024-0096
332,0000-0003-2866-264X,10.1017/S026021052500021X
333,0009-0002-1363-4750,10.1016/j.jbc.2025.108327
334,0000-0002-8473-6191,10.1017/S1369415425000147
335,0000-0001-6489-4160,10.1002/chem.202500273
336,0000-0003-0836-0599,10.1002/jaba.70002
337,0009-0003-9749-8377,10.1103/PhysRevB.111.L020102
338,0000-0003-0796-9204,10.11124/JBIES-24-00180
339,0009-0008-7681-5843,10.1123/jsr.2024-0002
340,0009-0005-8752-1347,10.1016/j.ajcnut.2024.10.022
341,0009-0005-8752-1347,10.1111/cdev.14192
342,0000-0002-1264-3826,10.1103/PhysRevMaterials.9.036201
343,0000-0003-0789-2729,10.1111/bjso.12900
344,0000-0003-0789-2729,10.1177/19485506241305698
345,0000-0003-0789-2729,10.1002/casp.70009
346,0000-0003-0789-2729,10.1007/s10508-023-02797-y
347,0000-0002-6293-4197,10.1016/j.drugpo.2025.104840
348,0000-0002-6293-4197,10.1159/000544104
349,0000-0002-6293-4197,10.1111/dar.14010
350,0000-0002-4791-6433,10.1007/s40617-025-01065-w
351,0000-0002-4791-6433,10.26522/jiste.v28i2.4787
352,0000-0002-3750-1779,10.1016/j.cjar.2020.10.001
353,0000-0002-3750-1779,10.1177/0148558x17742821
354,0000-0002-3750-1779,10.2308/accr-51526
355,0000-0002-3750-1779,10.2308/jiar-51345
356,0000-0002-3750-1779,10.1108/ara-08-2014-0091
357,0000-0002-3750-1779,10.1080/09638180.2014.932297
358,0000-0002-3750-1779,10.1016/j.intacc.2012.07.004
359,0000-0002-3750-1779,10.2308/atax-10150
360,0000-0002-3750-1779,10.1016/j.intacc.2011.04.005
361,0009-0001-1210-1648,10.1093/jbmr/zjae187
362,0000-0002-4394-7195,10.63144/ijt.2025.6652
363,0009-0005-0728-5082,10.1177/15269248251349783
364,0009-0005-0728-5082,10.1136/bmjopen-2024-088626
365,0000-0001-9959-9938,10.1139/cjp-2024-0240
366,0009-0008-1923-4786,10.1007/s00040-024-01007-9
367,0000-0002-2356-1690,10.1177/0148558x211062430
368,0000-0001-8086-7752,10.1080/15265161.2025.2488264
369,0000-0001-8086-7752,10.1111/soin.70000
370,0000-0001-9796-5156,10.5465/amle.2022.0435
371,0009-0009-1175-6114,10.3390/educsci15060730
372,0000-0002-8427-3959,10.1016/j.jbiomech.2025.112553
373,0000-0002-1577-2658,10.3390/biomedicines12071569
374,0000-0002-1577-2658,10.1002/alz.14463
375,0000-0002-1577-2658,10.1152/ajpregu.00270.2023
376,0000-0002-1577-2658,10.3390/ijms25041950
377,0000-0002-1577-2658,10.14814/phy2.15960
378,0000-0002-1577-2658,10.1152/ajpcell.00398.2023
379,0000-0002-1577-2658,10.1016/j.isci.2024.109468
380,0000-0002-1577-2658,10.14814/phy2.70001
381,0000-0002-1577-2658,10.1038/s41467-024-53886-y
382,0000-0002-1577-2658,10.1139/apnm-2024-0019
383,0000-0002-1577-2658,10.1113/JP286962
384,0000-0002-1577-2658,10.1016/j.npep.2024.102473
385,0000-0002-1577-2658,10.1113/JP287909
386,0000-0002-1577-2658,10.1152/japplphysiol.00520.2022
387,0000-0002-1577-2658,10.2174/1570159X20666220302151224
388,0000-0002-1577-2658,10.3389/fphys.2022.1061715
389,0000-0002-1577-2658,10.1152/japplphysiol.00114.2023
390,0000-0002-1577-2658,10.15252/emmm.202318526
391,0000-0002-1577-2658,10.14814/phy2.15852
392,0000-0002-1577-2658,10.3233/JAD-220813
393,0000-0002-1577-2658,10.1113/EP091274
394,0000-0002-1577-2658,10.1002/jbmr.4768
395,0000-0002-1577-2658,10.1152/ajpregu.00297.2021
396,0000-0002-1577-2658,10.3390/cells11010167
397,0000-0002-1577-2658,10.1002/2211-5463.13317
398,0000-0002-1577-2658,10.3390/cells11152354
399,0000-0002-1577-2658,10.3389/fendo.2022.1037434
400,0000-0002-1577-2658,10.1113/EP090381
401,0000-0002-1577-2658,10.1016/j.jbc.2022.102568
402,0000-0002-1577-2658,10.1152/ajpcell.00418.2021
403,0000-0002-1577-2658,10.1016/j.isci.2022.104972
404,0000-0002-1577-2658,10.14814/phy2.15232
405,0000-0002-1577-2658,10.3389/fendo.2022.957182
406,0000-0002-1577-2658,10.1007/s11682-021-00570-0
407,0000-0002-1577-2658,10.3389/fendo.2022.1069404
408,0000-0002-1577-2658,10.1172/jci.insight.143141
409,0000-0002-1577-2658,10.3390/nu13072406
410,0000-0002-1577-2658,10.3389/fncel.2021.665867
411,0000-0002-1577-2658,10.1152/jn.00489.2020
412,0000-0002-1577-2658,10.1152/AJPENDO.00008.2021
413,0000-0002-1577-2658,10.1002/1873-3468.14213
414,0000-0002-1577-2658,10.1210/clinem/dgab333
415,0000-0002-1577-2658,10.3390/ijms22094628
416,0000-0002-1577-2658,10.1139/apnm-2020-0592
417,0000-0002-1577-2658,10.1139/apnm-2020-0014
418,0000-0002-1577-2658,10.1139/apnm-2021-0301
419,0000-0002-1577-2658,10.1249/MSS.0000000000002242
420,0000-0002-1577-2658,10.1139/apnm-2019-0910
421,0000-0002-1577-2658,10.3390/cells9051114
422,0000-0001-8925-3108,10.1080/08878730.2024.2401559
423,0000-0001-8925-3108,10.18848/2327-7955/CGP/v32i02/67-88
424,0000-0001-6350-2540,10.1007/s10565-022-09773-7
425,0000-0001-5855-3706,10.1080/17445760.2024.2413509
426,0000-0001-5855-3706,10.61947/uw.PF.2024.75.3-4.41-62
427,0000-0001-5855-3706,10.48550/ARXIV.2312.14959
428,0000-0002-7352-4775,10.1080/25742981.2024.2371392
429,0000-0002-7352-4775,10.1177/1356336X241269654
430,0000-0002-7352-4775,10.1080/13573322.2024.2313992
431,0000-0002-7352-4775,10.1123/kr.2024-0061
432,0000-0002-9196-0757,10.1016/j.aehs.2025.06.001
433,0000-0001-9699-9098,10.1002/casp.70112
434,0000-0001-9699-9098,10.1038/s44159-025-00465-7
435,0000-0001-9699-9098,10.1038/s44159-025-00444-y
436,0000-0001-9699-9098,10.1037/emo0000738
437,0000-0003-4587-7191,10.1113/JP288032
438,0000-0002-9757-2771,10.1111/dmcn.16186
439,0000-0002-9757-2771,10.1007/s10578-025-01858-8
440,0000-0002-9757-2771,10.1123/pes.2023-0074
441,0000-0002-9757-2771,10.1007/s12529-024-10280-8
442,0000-0002-9757-2771,10.2196/52887
443,0000-0002-9757-2771,10.1093/abm/kaaf002
444,0000-0001-7057-5860,10.1080/14681811.2024.2362389
445,0000-0001-7057-5860,10.1177/09075682251316993
446,0000-0001-7057-5860,10.1080/09518398.2025.2452633
447,0009-0005-1344-588X,10.21463/shima.234
448,0000-0002-3913-9961,10.1080/13607863.2025.2502782
449,0000-0002-3913-9961,10.1016/j.inpsyc.2025.100052
450,0000-0002-3913-9961,10.1093/geront/gnaf012
451,0000-0002-3913-9961,10.1007/S00391-023-02196-X
452,0000-0002-3913-9961,10.1002/MPR.2027
453,0000-0002-3913-9961,10.1016/J.JAD.2024.06.055
454,0000-0002-3913-9961,10.1159/000534187
455,0000-0002-3913-9961,10.1186/S12903-023-03265-8
456,0000-0001-5396-6122,10.1007/s40489-023-00400-7
457,0000-0002-6783-1875,10.1002/jad.12431
458,0000-0003-2868-1584,10.1016/j.nanoen.2025.110745
459,0000-0003-2868-1584,10.1039/D4SE01671H
460,0000-0002-7095-5772,10.1002/sce.21901
461,0000-0002-4614-6027,10.1386/drtp_00157_1
462,0000-0002-2859-3448,10.5250/symploke.22.1-2.0149
463,0000-0001-6203-5338,10.1016/j.gee.2023.04.001
464,0000-0001-6203-5338,10.1021/acsami.3c17346
465,0000-0001-6203-5338,10.1021/acs.jpcc.2c07642
466,0000-0001-6203-5338,10.1063/5.0130727
467,0000-0001-6203-5338,10.1007/s12274-022-4906-1
468,0000-0001-6203-5338,10.1021/acs.chemmater.3c02142
469,0000-0001-6203-5338,10.1364/OE.481432
470,0000-0001-6203-5338,10.1021/acsnano.3c03989
471,0000-0001-6203-5338,10.1021/acs.jpclett.2c01073
472,0000-0001-6203-5338,10.1021/acsmaterialslett.2c00233
473,0000-0001-6203-5338,10.1007/s12274-022-4447-7
474,0000-0001-6203-5338,10.1002/adom.202101640
475,0000-0001-6203-5338,10.1021/acs.jpclett.1c03745
476,0000-0001-6203-5338,10.1016/j.matt.2021.07.018
477,0000-0001-6203-5338,10.1021/acsami.1c03881
478,0000-0001-6203-5338,10.1002/adfm.202006864
479,0000-0001-6203-5338,10.1021/acsnano.0c10373
480,0000-0001-6203-5338,10.1364/OE.434341
481,0000-0001-6203-5338,10.1021/acs.jpclett.1c01946
